 years months days precipitation
11323 1991 1 1 0.0
11324 1991 1 2 0.0
11325 1991 1 3 0.0
11326 1991 1 4 0.0
11327 1991 1 5 0.0
11328 1991 1 6 0.0
11329 1991 1 7 0.0
11330 1991 1 8 0.0
11331 1991 1 9 0.0
11332 1991 1 10 0.0
11333 1991 1 11 0.0
11334 1991 1 12 0.0
11335 1991 1 13 0.0
11336 1991 1 14 0.0
11337 1991 1 15 0.0
11338 1991 1 16 0.0
11339 1991 1 17 0.0
11340 1991 1 18 0.0
11341 1991 1 19 2.2
11342 1991 1 20 0.0
11343 1991 1 21 4.7
11344 1991 1 22 0.0
11345 1991 1 23 8.8
11346 1991 1 24 1.1
11347 1991 1 25 0.0
11348 1991 1 26 0.0
11349 1991 1 27 0.0
11350 1991 1 28 3.3
11351 1991 1 29 0.0
11352 1991 1 30 0.0
11353 1991 1 31 0.0
11354 1991 2 1 0.0
11355 1991 2 2 24.2
11356 1991 2 3 0.0
11357 1991 2 4 1.8
11358 1991 2 5 1.3
11359 1991 2 6 0.0
11360 1991 2 7 0.0
11361 1991 2 8 0.0
11362 1991 2 9 0.0
11363 1991 2 10 0.0
11364 1991 2 11 0.0
11365 1991 2 12 0.0
11366 1991 2 13 0.0
11367 1991 2 14 0.0
11368 1991 2 15 14.0
11369 1991 2 16 0.0
11370 1991 2 17 17.0
11371 1991 2 18 0.0
11372 1991 2 19 0.0
11373 1991 2 20 0.0
11374 1991 2 21 0.0
11375 1991 2 22 0.0
11376 1991 2 23 0.0
11377 1991 2 24 16.6
11378 1991 2 25 0.0
11379 1991 2 26 0.0
11380 1991 2 27 0.0
11381 1991 2 28 0.0
11382 1991 3 1 0.0
11383 1991 3 2 0.0
11384 1991 3 3 0.0
11385 1991 3 4 0.0
11386 1991 3 5 10.1
11387 1991 3 6 0.6
11388 1991 3 7 0.5
11389 1991 3 8 0.0
11390 1991 3 9 0.0
11391 1991 3 10 7.1
11392 1991 3 11 25.4
11393 1991 3 12 0.0
11394 1991 3 13 0.0
11395 1991 3 14 0.0
11396 1991 3 15 2.6
11397 1991 3 16 0.0
11398 1991 3 17 2.4
11399 1991 3 18 0.0
11400 1991 3 19 0.0
11401 1991 3 20 0.0
11402 1991 3 21 0.0
11403 1991 3 22 0.0
11404 1991 3 23 0.0
11405 1991 3 24 0.0
11406 1991 3 25 0.0
11407 1991 3 26 18.2
11408 1991 3 27 7.0
11409 1991 3 28 0.0
11410 1991 3 29 22.2
11411 1991 3 30 0.0
11412 1991 3 31 0.0
11413 1991 4 1 24.2
11414 1991 4 2 0.3
11415 1991 4 3 0.0
11416 1991 4 4 30.9
11417 1991 4 5 0.0
11418 1991 4 6 0.0
11419 1991 4 7 30.0
11420 1991 4 8 0.0
11421 1991 4 9 27.8
11422 1991 4 10 0.0
11423 1991 4 11 0.0
11424 1991 4 12 0.0
11425 1991 4 13 0.0
11426 1991 4 14 5.4
11427 1991 4 15 0.0
11428 1991 4 16 0.0
11429 1991 4 17 0.0
11430 1991 4 18 0.5
11431 1991 4 19 20.7
11432 1991 4 20 0.0
11433 1991 4 21 0.0
11434 1991 4 22 0.0
11435 1991 4 23 0.0
11436 1991 4 24 0.5
11437 1991 4 25 2.0
11438 1991 4 26 0.0
11439 1991 4 27 21.1
11440 1991 4 28 0.2
11441 1991 4 29 24.5
11442 1991 4 30 14.9
11443 1991 5 1 0.0
11444 1991 5 2 0.0
11445 1991 5 3 3.8
11446 1991 5 4 0.0
11447 1991 5 5 3.4
11448 1991 5 6 0.0
11449 1991 5 7 0.0
11450 1991 5 8 0.0
11451 1991 5 9 3.2
11452 1991 5 10 0.0
11453 1991 5 11 0.0
11454 1991 5 12 0.5
11455 1991 5 13 46.9
11456 1991 5 14 0.0
11457 1991 5 15 6.4
11458 1991 5 16 3.9
11459 1991 5 17 47.0
11460 1991 5 18 20.1
11461 1991 5 19 15.0
11462 1991 5 20 6.0
11463 1991 5 21 8.7
11464 1991 5 22 8.3
11465 1991 5 23 8.7
11466 1991 5 24 41.2
11467 1991 5 25 0.6
11468 1991 5 26 49.5
11469 1991 5 27 1.6
11470 1991 5 28 40.6
11471 1991 5 29 14.6
11472 1991 5 30 0.0
11473 1991 5 31 0.0
11474 1991 6 1 3.0
11475 1991 6 2 18.0
11476 1991 6 3 4.4
11477 1991 6 4 27.8
11478 1991 6 5 3.1
11479 1991 6 6 0.0
11480 1991 6 7 0.8
11481 1991 6 8 0.0
11482 1991 6 9 7.4
11483 1991 6 10 0.2
11484 1991 6 11 0.0
11485 1991 6 12 0.8
11486 1991 6 13 0.8
11487 1991 6 14 0.1
11488 1991 6 15 2.0
11489 1991 6 16 0.0
11490 1991 6 17 11.2
11491 1991 6 18 0.0
11492 1991 6 19 0.0
11493 1991 6 20 6.2
11494 1991 6 21 0.1
11495 1991 6 22 52.3
11496 1991 6 23 2.8
11497 1991 6 24 0.0
11498 1991 6 25 0.0
11499 1991 6 26 18.0
11500 1991 6 27 0.4
11501 1991 6 28 5.4
11502 1991 6 29 3.4
11503 1991 6 30 7.8
11504 1991 7 1 1.9
11505 1991 7 2 15.6
11506 1991 7 3 8.3
11507 1991 7 4 98.5
11508 1991 7 5 7.0
11509 1991 7 6 0.0
11510 1991 7 7 8.7
11511 1991 7 8 0.0
11512 1991 7 9 32.2
11513 1991 7 10 0.0
11514 1991 7 11 6.4
11515 1991 7 12 18.6
11516 1991 7 13 1.2
11517 1991 7 14 64.6
11518 1991 7 15 8.8
11519 1991 7 16 0.0
11520 1991 7 17 0.0
11521 1991 7 18 0.2
11522 1991 7 19 0.0
11523 1991 7 20 0.0
11524 1991 7 21 0.0
11525 1991 7 22 0.0
11526 1991 7 23 0.0
11527 1991 7 24 0.0
11528 1991 7 25 0.0
11529 1991 7 26 0.0
11530 1991 7 27 0.0
11531 1991 7 28 0.0
11532 1991 7 29 0.0
11533 1991 7 30 0.0
11534 1991 7 31 0.0
11535 1991 8 1 10.2
11536 1991 8 2 4.9
11537 1991 8 3 0.9
11538 1991 8 4 3.4
11539 1991 8 5 1.6
11540 1991 8 6 21.8
11541 1991 8 7 0.4
11542 1991 8 8 0.0
11543 1991 8 9 0.0
11544 1991 8 10 0.0
11545 1991 8 11 0.0
11546 1991 8 12 0.0
11547 1991 8 13 0.0
11548 1991 8 14 9.7
11549 1991 8 15 10.3
11550 1991 8 16 0.0
11551 1991 8 17 12.0
11552 1991 8 18 1.5
11553 1991 8 19 1.2
11554 1991 8 20 2.8
11555 1991 8 21 4.0
11556 1991 8 22 4.1
11557 1991 8 23 8.3
11558 1991 8 24 0.3
11559 1991 8 25 0.3
11560 1991 8 26 1.9
11561 1991 8 27 1.0
11562 1991 8 28 0.0
11563 1991 8 29 0.0
11564 1991 8 30 0.0
11565 1991 8 31 0.0
11566 1991 9 1 0.0
11567 1991 9 2 0.0
11568 1991 9 3 3.3
11569 1991 9 4 0.0
11570 1991 9 5 20.6
11571 1991 9 6 1.4
11572 1991 9 7 1.4
11573 1991 9 8 0.0
11574 1991 9 9 0.0
11575 1991 9 10 0.0
11576 1991 9 11 0.0
11577 1991 9 12 25.7
11578 1991 9 13 0.0
11579 1991 9 14 2.0
11580 1991 9 15 8.6
11581 1991 9 16 0.0
11582 1991 9 17 0.0
11583 1991 9 18 0.0
11584 1991 9 19 0.0
11585 1991 9 20 0.0
11586 1991 9 21 0.0
11587 1991 9 22 0.0
11588 1991 9 23 0.0
11589 1991 9 24 45.1
11590 1991 9 25 19.5
11591 1991 9 26 0.0
11592 1991 9 27 0.0
11593 1991 9 28 0.0
11594 1991 9 29 0.0
11595 1991 9 30 1.0
11596 1991 10 1 0.0
11597 1991 10 2 8.8
11598 1991 10 3 0.0
11599 1991 10 4 0.0
11600 1991 10 5 0.0
11601 1991 10 6 7.6
11602 1991 10 7 14.3
11603 1991 10 8 0.1
11604 1991 10 9 20.8
11605 1991 10 10 0.0
11606 1991 10 11 0.0
11607 1991 10 12 0.0
11608 1991 10 13 1.1
11609 1991 10 14 8.0
11610 1991 10 15 41.2
11611 1991 10 16 0.0
11612 1991 10 17 0.2
11613 1991 10 18 0.0
11614 1991 10 19 0.0
11615 1991 10 20 0.0
11616 1991 10 21 3.0
11617 1991 10 22 0.0
11618 1991 10 23 0.0
11619 1991 10 24 0.0
11620 1991 10 25 4.6
11621 1991 10 26 1.0
11622 1991 10 27 21.8
11623 1991 10 28 14.7
11624 1991 10 29 0.0
11625 1991 10 30 23.3
11626 1991 10 31 0.0
11627 1991 11 1 15.5
11628 1991 11 2 0.0
